system:index,Albedo_inst,AvgSurfT_inst,CanopInt_inst,ECanop_tavg,ESoil_tavg,EVI,EVI_Amplitude_1,EVI_Amplitude_2,EVI_Minimum_1,EVI_Minimum_2,Evap_tavg,Greenup_1,Greenup_2,LABEL,LC_Type1,LC_Type2,LWdown_f_tavg,Lwnet_tavg,MidGreendown_1,MidGreendown_2,MidGreenup_1,MidGreenup_2,NDVI,NDWI,NumCycles,Peak_1,Peak_2,PotEvap_tavg,Psurf_f_inst,Qair_f_inst,Qg_tavg,Qh_tavg,Qle_tavg,Qs_acc,Qsb_acc,Qsm_acc,Rainf_f_tavg,Rainf_tavg,RootMoist_inst,SWE_inst,SWdown_f_tavg,Senescence_1,Senescence_2,SnowDepth_inst,Snowf_tavg,SoilMoi0_10cm_inst,SoilMoi100_200cm_inst,SoilMoi10_40cm_inst,SoilMoi40_100cm_inst,SoilTMP0_10cm_inst,SoilTMP100_200cm_inst,SoilTMP10_40cm_inst,SoilTMP40_100cm_inst,Swnet_tavg,Tair_f_inst,Tveg_tavg,Wind_f_inst,X,Y,aet,constant,def,pdsi,pet,pr,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,.geo
000000000000000000f3,15.138077,301.032,0.132909,30.310986,18.169495,5272,2740.0,2119.0,3357.0,3574.0,3.7784546E-5,288.0,664.0,356,14,14,423.50095,-40.626854,525.0,789.0,342.0,687.0,7835,0.83884543,1.0,413.0,730.0,260.97592,99479.22,0.01708317,0.34170887,71.38628,94.49855,0.0067243306,0.08188247,0.0,4.314382E-5,4.314382E-5,247.396,0.0,242.83972,437.0,752.0,0.0,0.0,21.00115,246.88745,60.352108,114.51939,301.02866,300.32892,300.83023,300.6382,206.32607,299.62134,46.02335,4.155521,124.93768971534305,-9.59400723439649,759.3333333333334,1,467.25,169.08333333333334,1226.5,127.16666666666667,1241.4166666666667,2224.6666666666665,0.0,236.16666666666666,291.5833333333333,2853.6666666666665,65.58333333333333,253.08333333333334,"{""type"":""Point"",""coordinates"":[124.93768851225974,-9.594005626147798]}"
0000000000000000011b,14.002967,296.01056,0.17240247,16.581535,23.573307,5211,3425.0,1109.0,1641.0,1961.0,2.7854774E-5,468.0,691.0,282,14,14,354.71198,-79.03262,638.0,763.0,487.0,703.0,7023,0.8848722,1.0,568.0,727.0,143.81798,101075.195,0.014332276,-0.4854546,21.616688,69.66275,0.056210674,0.47964415,0.0,7.553177E-5,7.553177E-5,268.666,0.0,196.81339,610.0,741.0,0.0,0.0,25.354834,313.62677,79.19231,164.11884,296.1902,296.72464,296.40283,296.547,169.26839,296.7218,31.382328,1.6074784,92.16714815066291,26.554199798573055,832.0,1,156.66666666666666,227.75,988.6666666666666,156.91666666666666,1107.0833333333333,1938.0833333333333,0.0,195.0,289.4166666666667,2346.1666666666665,87.5,104.08333333333333,"{""type"":""Point"",""coordinates"":[92.16714843274268,26.554200942030253]}"
0000000000000000012a,15.913461,299.29935,0.14581352,22.718884,20.253414,5126,1937.0,1640.0,3441.0,3371.0,3.873118E-5,467.0,623.0,1177,14,14,409.24945,-44.023235,550.0,701.0,353.0,633.0,7366,0.3847606,1.0,507.0,655.0,223.78235,97672.43,0.016111098,-0.1400185,48.060154,96.86484,0.011212689,0.07461112,0.0,4.7806352E-5,4.7806352E-5,267.9034,0.0,223.95612,523.0,670.0,0.0,0.0,22.748135,246.89561,67.25595,119.34497,299.2836,299.34467,299.2824,299.31265,188.59834,298.30536,54.150772,3.0623205,80.59684729120347,7.869241888887009,1113.5,1,234.91666666666666,58.583333333333336,1348.5833333333333,131.58333333333334,3819.1666666666665,2255.9166666666665,0.0,230.08333333333334,317.0,2626.5833333333335,114.75,191.0,"{""type"":""Point"",""coordinates"":[80.59684692420241,7.869243175079148]}"
0000000000000000001d,24.81704,294.1147,0.057127748,0.20735577,13.9140215,915,1538.0,1558.0,1200.0,1525.0,5.987089E-6,423.0,541.0,33,16,15,323.97372,-99.799225,483.0,686.0,429.0,566.0,1594,0.41231164,1.0,458.0,619.0,216.65979,98067.32,0.0054601952,0.030304331,47.48648,15.030944,0.0035571463,0.0030059787,0.0045249998,8.204533E-6,7.6929255E-6,307.64972,0.064491756,216.85866,468.0,652.0,3.093063E-4,5.115728E-7,20.559776,326.10254,94.89704,192.19293,294.19064,294.00354,294.11282,294.09866,161.8559,292.4982,0.4136607,3.1168191,40.783513899026275,35.82481353068652,138.66666666666666,1,1306.75,-467.75,1445.4166666666667,18.25,67.08333333333333,2170.75,0.0,136.25,276.5,961.5833333333334,211.66666666666666,244.33333333333334,"{""type"":""Point"",""coordinates"":[40.7835134588519,35.82481472337794]}"
00000000000000000096,53.305885,260.99936,0.08771257,2.2266862,4.8414593,1586,1514.0,2181.0,1614.0,1549.0,4.79145E-6,524.0,480.0,0,17,0,228.95322,-37.06879,622.0,609.0,540.0,491.0,4330,0.6064097,1.0,568.0,576.0,36.976723,101358.18,0.0021213284,1.150476,1.7532188,12.4929085,0.011348702,1.8543956E-6,0.020668097,7.738461E-6,3.899863E-6,190.32419,24.44445,92.03227,579.0,592.0,0.23871394,3.838599E-6,26.33648,217.73842,75.408325,88.57904,262.8781,262.06094,263.10767,262.8252,52.89215,261.94534,1.1757933,4.681036,158.8580748436962,70.46385088633527,89.25,1,2.1666666666666665,-130.66666666666666,108.16666666666667,13.833333333333334,223.41666666666666,1008.0833333333334,41.166666666666664,-183.75,-87.33333333333333,309.6666666666667,6.166666666666667,416.9166666666667,"{""type"":""Point"",""coordinates"":[158.8580746849236,70.4638519173204]}"
000000000000000000f6,15.446868,299.27142,0.2654361,34.82187,30.53339,4699,1979.0,2063.0,3506.0,2901.0,3.9904637E-5,264.0,644.0,0,17,0,418.49643,-35.56878,492.0,745.0,353.0,659.0,7299,0.25559157,1.0,384.0,704.0,136.58035,100720.445,0.018629655,-0.09016959,19.7351,99.79976,0.12480106,0.5832362,0.0,1.0580766E-4,1.0580766E-4,808.5548,0.0,183.12242,406.0,728.0,0.0,0.0,38.207966,418.38837,115.69557,236.2629,299.39633,299.4445,299.4333,299.44644,154.81245,299.45465,34.872334,1.9644152,139.16700381579628,-7.222454884320953,1107.9166666666667,1,66.5,51.583333333333336,1174.4166666666667,221.5,869.5833333333334,1942.8333333333333,0.0,226.33333333333334,309.8333333333333,2819.1666666666665,82.25,247.33333333333334,"{""type"":""Point"",""coordinates"":[139.1670054881824,-7.222455026377876]}"
00000000000000000011,20.472733,295.06076,0.05506044,1.6776443,11.958781,1200,2139.0,1387.0,1229.0,1200.0,7.084788E-6,377.0,582.0,487,7,7,325.25656,-102.960434,479.0,675.0,412.0,596.0,1579,0.22160207,1.0,450.0,626.0,250.19295,97168.19,0.0053448896,-0.34273824,50.300632,17.733736,0.0029187673,0.016383925,3.657967E-4,9.733276E-6,9.700515E-6,227.24104,0.0195364,215.24863,459.0,643.0,6.9642854E-5,3.272665E-8,23.332218,302.55066,85.85033,172.56664,295.11224,295.12665,294.9765,295.04752,170.12012,293.65244,3.9984787,2.8953905,44.44864025823392,35.32175697157959,201.5,1,1401.25,-746.0833333333334,1602.8333333333333,22.416666666666668,35.083333333333336,2168.5,0.0,163.33333333333334,298.6666666666667,989.5,254.58333333333334,277.25,"{""type"":""Point"",""coordinates"":[44.448640356024356,35.32175677893239]}"
0000000000000000005d,55.602413,267.14417,0.35540384,5.4555907,3.3984134,4275,2391.0,3162.0,1912.0,1200.0,6.204603E-6,524.0,457.0,0,7,7,257.679,-34.82099,616.0,617.0,541.0,528.0,6594,0.65789473,1.0,570.0,572.0,52.915287,100154.78,0.0031440964,2.2409878,1.0243453,15.8320875,0.16275224,5.105323E-4,0.10675289,2.4923043E-5,1.1464148E-5,221.7604,91.13459,92.26635,587.0,590.0,0.4480855,1.3458997E-5,26.85942,405.89685,67.338776,127.56219,271.8564,269.77368,271.66446,270.95334,56.750904,268.52744,4.5699553,3.7672656,67.80483764534148,67.15805064077543,191.83333333333334,1,49.25,-167.66666666666666,247.83333333333334,34.666666666666664,438.3333333333333,994.3333333333334,77.0,-94.75,-16.5,455.9166666666667,16.416666666666668,418.3333333333333,"{""type"":""Point"",""coordinates"":[67.80483644993798,67.15805276033777]}"
00000000000000000067,56.16273,260.35037,0.304091,3.432754,5.7106147,2766,2208.0,2675.0,1324.0,1200.0,5.7641496E-6,545.0,481.0,0,7,7,230.2412,-34.60682,605.0,609.0,552.0,496.0,6195,0.58734024,1.0,578.0,579.0,41.9192,101128.79,0.0022328636,1.0094012,4.6908216,14.790667,0.01657852,1.933379E-6,0.030010028,9.453881E-6,5.1292927E-6,216.24135,39.45615,94.17397,590.0,594.0,0.30043358,4.3245536E-6,29.804527,216.46681,73.95637,112.48057,266.0062,265.98355,267.20154,266.9035,55.855846,261.30566,2.5244884,3.8412695,148.1501566569915,70.82317699998308,148.5,1,12.583333333333334,239.0,166.41666666666666,22.916666666666668,531.4166666666666,1051.6666666666667,66.16666666666667,-172.16666666666666,-95.75,338.3333333333333,8.25,388.5833333333333,"{""type"":""Point"",""coordinates"":[148.15015886101867,70.82317519840917]}"
0000000000000000008c,56.520653,260.3954,0.22690763,3.734825,5.462603,2705,2357.0,2692.0,1264.0,1200.0,5.6907634E-6,531.0,535.0,0,7,7,231.03021,-33.81938,606.0,605.0,547.0,546.0,6050,0.59090906,1.0,577.0,578.0,37.56368,100762.984,0.0022734713,0.8311594,4.847951,14.61864,0.010350014,7.3832416E-6,0.03180467,1.09673765E-5,5.8798764E-6,203.75726,40.58702,93.747955,590.0,590.0,0.32632086,5.0874655E-6,29.539429,199.20056,75.9217,98.296135,265.48834,265.41156,266.49127,266.23178,54.907013,261.48505,2.1914046,3.8790443,150.0186524479601,70.53571610906484,154.41666666666666,1,14.583333333333334,233.33333333333334,173.66666666666666,22.0,472.0,1044.9166666666667,65.5,-176.5,-93.08333333333333,327.6666666666667,8.75,432.9166666666667,"{""type"":""Point"",""coordinates"":[150.01865151634306,70.53571478989771]}"
00000000000000000260,20.233328,278.64633,0.15860543,1.4951065,28.126123,2024,1898.0,1395.0,1245.0,1200.0,1.2732109E-5,302.0,633.0,0,7,7,285.3324,-54.421352,445.0,817.0,330.0,653.0,3154,0.6426439,1.0,373.0,726.0,130.3302,94630.7,0.0037966855,-0.7158529,19.206402,32.105335,0.004345522,0.008499932,0.031773113,1.7666414E-5,1.4867616E-5,323.57916,3.026439,124.32833,386.0,774.0,0.013281937,2.798592E-6,31.798454,311.73532,103.29207,188.48865,278.88013,279.73346,279.14438,279.37173,105.58895,278.5267,0.46157968,5.3228974,-70.24825521814658,-48.76055362200763,130.5,1,917.4166666666666,6.583333333333333,1062.75,13.916666666666666,49.583333333333336,1330.0833333333333,0.6666666666666666,32.833333333333336,142.25,592.6666666666666,67.58333333333333,717.3333333333334,"{""type"":""Point"",""coordinates"":[-70.24825438138629,-48.760555401898095]}"
000000000000000002eb,9.705288,290.37643,0.046945054,3.6968544,26.982552,2496,1214.0,1122.0,1815.0,1200.0,1.5288393E-5,306.0,603.0,8,7,7,340.02438,-62.495865,559.0,810.0,322.0,641.0,4908,0.31899256,1.0,473.0,709.0,254.72136,91724.5,0.0070532137,-0.032199144,93.7599,38.244987,0.0019251648,0.0065335953,6.0164835E-5,1.7679053E-5,1.7645123E-5,242.44008,0.005841346,216.53085,498.0,731.0,2.2767857E-5,3.3962912E-8,19.549824,216.45412,65.51402,130.67786,290.50247,290.53427,290.5263,290.5575,194.03021,288.01196,7.490924,4.1087832,23.895186557579272,-33.16580028969273,330.8333333333333,1,860.3333333333334,88.16666666666667,1191.0,34.75,1.0,2124.8333333333335,0.0,94.0,235.25,1070.3333333333333,103.25,286.6666666666667,"{""type"":""Point"",""coordinates"":[23.895185474647832,-33.16579925599552]}"
000000000000000001c5,49.90758,270.5405,0.41291347,0.32324177,10.090333,1701,1465.0,1071.0,1751.0,1200.0,7.0634624E-6,537.0,656.0,0,10,10,265.75537,-37.23017,603.0,722.0,537.0,664.0,3800,0.47795415,1.0,576.0,689.0,38.452908,97668.7,0.0032578292,-0.18170118,7.5651317,18.62673,0.178603,0.22109771,0.20219944,4.382524E-5,2.5480598E-5,361.98407,82.04185,106.461586,591.0,704.0,0.3461782,1.8344437E-5,37.18928,436.50763,114.655,210.13985,273.50052,273.7204,274.25577,274.0151,68.50418,271.19226,0.009773351,4.7110844,-50.1259928538693,62.98986772246085,196.08333333333334,1,0.0,770.3333333333334,211.0,108.16666666666667,263.0,1035.3333333333333,260.75,-30.166666666666668,25.333333333333332,531.4166666666666,13.166666666666666,432.0,"{""type"":""Point"",""coordinates"":[-50.125994571877975,62.98986791871974]}"
00000000000000000322,10.040663,283.94974,0.13106902,15.612895,30.286985,1955,1307.0,1428.0,1200.0,1200.0,2.3095778E-5,279.0,653.0,0,10,10,301.2757,-64.93085,463.0,813.0,318.0,684.0,4163,0.25606725,1.0,404.0,725.0,151.65744,77070.29,0.007186579,-0.042144183,74.18561,57.834602,0.0077551855,0.12358563,0.0011941277,3.340436E-5,3.316147E-5,335.08633,0.062290523,219.12991,439.0,753.0,2.623283E-4,2.4285714E-7,31.090141,342.51764,100.590645,203.40555,284.02145,284.16943,284.12582,284.15802,196.68352,281.5663,11.431171,3.3290443,28.78202170318947,-29.50067393048509,526.5,1,462.25,263.1666666666667,989.4166666666666,53.75,37.333333333333336,2020.8333333333333,0.0,62.75,188.83333333333334,908.25,70.66666666666667,241.58333333333334,"{""type"":""Point"",""coordinates"":[28.782021337544457,-29.500672358823063]}"
00000000000000000121,13.672884,299.53473,0.050007556,3.8827062,20.115921,3662,2804.0,2001.0,1274.0,1200.0,2.0276237E-5,538.0,552.0,0,12,12,369.87094,-83.98924,674.0,670.0,567.0,573.0,5900,0.82915586,1.0,614.0,619.0,285.58673,96071.48,0.0099023655,-0.090921625,61.91551,50.71157,0.023847291,0.010425518,0.0,2.0558517E-5,2.0558517E-5,265.97626,0.0,226.64142,635.0,642.0,0.0,0.0,23.127602,363.79272,80.9079,161.94075,299.47156,299.53668,299.60223,299.5904,196.0103,297.97235,26.718088,2.5281515,75.63814692286371,21.595499430233296,445.25,1,1084.9166666666667,-102.91666666666667,1530.25,46.083333333333336,336.3333333333333,2333.25,0.0,198.16666666666666,340.1666666666667,1716.3333333333333,221.83333333333334,223.41666666666666,"{""type"":""Point"",""coordinates"":[75.63814818872847,21.595497747455244]}"
000000000000000001dd,42.06345,274.28952,0.3798331,4.350687,9.741366,1420,3470.0,4138.0,1412.0,1200.0,8.72452E-6,506.0,523.0,0,15,15,288.1767,-32.192947,619.0,618.0,521.0,534.0,2261,0.5525386,1.0,556.0,564.0,46.521835,95173.56,0.00423127,0.9650914,7.6707325,22.636244,0.09790878,0.21660653,0.13635333,3.766916E-5,2.7315007E-5,399.9917,64.034966,105.56463,595.0,588.0,0.19710766,1.0354258E-5,34.773094,274.789,104.64262,189.44308,275.3043,274.99127,275.27402,275.04297,66.89837,274.6188,1.6556834,5.6470046,-154.61802670265206,58.174897799580215,304.0833333333333,1,7.833333333333333,-84.16666666666667,346.0833333333333,82.58333333333333,340.5833333333333,990.75,97.58333333333333,-9.583333333333334,62.083333333333336,557.3333333333334,24.75,585.5,"{""type"":""Point"",""coordinates"":[-154.6180269707282,58.174899387501505]}"
